movieId,title,genres
130050,Digging Up the Marrow (2014),Drama|Fantasy|Horror|Mystery|Thriller
189333,Mission: Impossible - Fallout (2018),Action|Adventure|Thriller
3725,American Pop (1981),Animation|Musical
121007,Space Buddies (2009),Adventure|Children|Fantasy|Sci-Fi
46062,High School Musical (2006),Children|Comedy|Drama|Musical|Romance
4774,Big Trouble (2002),Comedy|Crime
1441,Benny & Joon (1993),Comedy|Romance
90866,Hugo (2011),Children|Drama|Mystery
4890,Shallow Hal (2001),Comedy|Fantasy|Romance
2567,EDtv (1999),Comedy
143001,Anti-Social (2015),Crime
3014,Bustin' Loose (1981),Comedy
6155,How to Lose a Guy in 10 Days (2003),Comedy|Romance
6155,How to Lose a Guy in 10 Days (2003),Comedy|Romance
6155,How to Lose a Guy in 10 Days (2003),Comedy|Romance
